03-02 09:53:43.457 (I) Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@7d651f12: startup date [Wed Feb 01 15:55:59 CET 2017]; root of context hierarchy  [Thread-10 o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext]
03-02 09:53:43.572 (I) Unregistering JMX-exposed beans on shutdown  [Thread-10 o.s.j.e.a.AnnotationMBeanExporter]
03-02 09:53:44.209 (I) Starting SimpaticoApplication on Smarts-MacBook-Pro.local with PID 27873 (/Users/raman/Documents/Work/SO/platform/smartcampus-vas/simpatico-adaptation-engines/target/classes started by raman in /Users/raman/Documents/Work/SO/platform/smartcampus-vas/simpatico-adaptation-engines)  [restartedMain e.s.a.SimpaticoApplication]
03-02 09:53:44.209 (I) No active profile set, falling back to default profiles: default  [restartedMain e.s.a.SimpaticoApplication]
03-02 09:53:44.217 (I) Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@76323400: startup date [Fri Feb 03 09:53:44 CET 2017]; root of context hierarchy  [restartedMain o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext]
03-02 09:53:45.534 (I) Tomcat initialized with port(s): 8080 (http)  [restartedMain o.s.b.c.e.t.TomcatEmbeddedServletContainer]
03-02 09:53:45.545 (I) Root WebApplicationContext: initialization completed in 1328 ms  [localhost-startStop-1 o.s.w.c.ContextLoader]
03-02 09:53:45.644 (I) Mapping filter: 'characterEncodingFilter' to: [/*]  [localhost-startStop-1 o.s.b.c.e.FilterRegistrationBean]
03-02 09:53:45.645 (I) Mapping filter: 'hiddenHttpMethodFilter' to: [/*]  [localhost-startStop-1 o.s.b.c.e.FilterRegistrationBean]
03-02 09:53:45.645 (I) Mapping filter: 'httpPutFormContentFilter' to: [/*]  [localhost-startStop-1 o.s.b.c.e.FilterRegistrationBean]
03-02 09:53:45.645 (I) Mapping filter: 'requestContextFilter' to: [/*]  [localhost-startStop-1 o.s.b.c.e.FilterRegistrationBean]
03-02 09:53:45.645 (I) Filter characterEncodingFilter was not registered (possibly already registered?)  [localhost-startStop-1 o.s.b.c.e.FilterRegistrationBean]
03-02 09:53:45.645 (I) Mapping servlet: 'dispatcherServlet' to [/]  [localhost-startStop-1 o.s.b.c.e.ServletRegistrationBean]
03-02 09:53:45.832 (I) Mapped "{[/tae/webdemo || /tae]}" onto public java.lang.String eu.simpaticoproject.adaptation.common.controller.DemoController.taeDashboard()  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 09:53:45.832 (I) Mapped "{[/wae/webdemo || /wae]}" onto public java.lang.String eu.simpaticoproject.adaptation.common.controller.DemoController.waeDemo()  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 09:53:45.833 (I) Mapped "{[/wae/webdemo/logincallback]}" onto public java.lang.String eu.simpaticoproject.adaptation.common.controller.DemoController.login()  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 09:53:45.834 (I) Mapped "{[/tae/simp],methods=[POST]}" onto public eu.simpaticoproject.adaptation.text.tae.SimpaticoOutput eu.simpaticoproject.adaptation.text.controllers.TAEController.simp(eu.simpaticoproject.adaptation.text.tae.SimpaticoInput) throws java.lang.Exception  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 09:53:45.834 (I) Mapped "{[/tae/simp],methods=[GET]}" onto public java.lang.String eu.simpaticoproject.adaptation.text.controllers.TAEController.simp(java.lang.String,java.lang.String,java.lang.Boolean) throws java.lang.Exception  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 09:53:45.836 (I) Mapped "{[/wae/model/page],methods=[GET]}" onto public eu.simpaticoproject.adaptation.workflow.model.wf.PageModel eu.simpaticoproject.adaptation.workflow.controller.WAEController.getPageModel(java.lang.String,java.lang.String,javax.servlet.http.HttpServletRequest) throws java.lang.Exception  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 09:53:45.836 (I) Mapped "{[/wae/model],methods=[GET]}" onto public java.util.List<eu.simpaticoproject.adaptation.workflow.model.WorkFlowModelStore> eu.simpaticoproject.adaptation.workflow.controller.WAEController.getModelStore(java.lang.String,javax.servlet.http.HttpServletRequest) throws java.lang.Exception  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 09:53:45.837 (I) Mapped "{[/wae/model],methods=[POST]}" onto public eu.simpaticoproject.adaptation.workflow.model.WorkFlowModelStore eu.simpaticoproject.adaptation.workflow.controller.WAEController.addModelStore(eu.simpaticoproject.adaptation.workflow.model.WorkFlowModelStore,javax.servlet.http.HttpServletRequest) throws java.lang.Exception  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 09:53:45.837 (I) Mapped "{[/wae/model/{objectId}],methods=[PUT]}" onto public eu.simpaticoproject.adaptation.workflow.model.WorkFlowModelStore eu.simpaticoproject.adaptation.workflow.controller.WAEController.saveModelStore(java.lang.String,eu.simpaticoproject.adaptation.workflow.model.WorkFlowModelStore,javax.servlet.http.HttpServletRequest) throws java.lang.Exception  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 09:53:45.837 (I) Mapped "{[/wae/model/{objectId}],methods=[DELETE]}" onto public void eu.simpaticoproject.adaptation.workflow.controller.WAEController.deleteModelStore(java.lang.String,javax.servlet.http.HttpServletRequest) throws java.lang.Exception  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 09:53:45.838 (I) Mapped "{[/apidocs],methods=[GET],produces=[application/json || application/hal+json]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
